Sun Jun 21 17:26:58 2020, Epoch 13, lr: 0.0001964, train loss: 0.12567, val loss: 0.34555, acc: 85.91616, qwk: 0.64971
Sun Jun 21 17:29:28 2020, Epoch 14, lr: 0.0001812, train loss: 0.11934, val loss: 0.36365, acc: 86.81112, qwk: 0.66536
Sun Jun 21 17:31:59 2020, Epoch 15, lr: 0.0001657, train loss: 0.11214, val loss: 0.39727, acc: 86.85822, qwk: 0.65932
Sun Jun 21 17:34:29 2020, Epoch 16, lr: 0.0001500, train loss: 0.10364, val loss: 0.39602, acc: 85.68064, qwk: 0.62941
Sun Jun 21 17:37:00 2020, Epoch 17, lr: 0.0001343, train loss: 0.09669, val loss: 0.40174, acc: 86.01036, qwk: 0.65681
Sun Jun 21 17:39:32 2020, Epoch 18, lr: 0.0001188, train loss: 0.07943, val loss: 0.42673, acc: 86.81112, qwk: 0.67214
Sun Jun 21 17:42:05 2020, Epoch 19, lr: 0.0001036, train loss: 0.07680, val loss: 0.41019, acc: 86.43429, qwk: 0.65840
Sun Jun 21 17:44:35 2020, Epoch 20, lr: 0.0000890, train loss: 0.06852, val loss: 0.45369, acc: 86.34008, qwk: 0.65788
Sun Jun 21 17:47:07 2020, Epoch 21, lr: 0.0000750, train loss: 0.06323, val loss: 0.45623, acc: 86.57560, qwk: 0.66360
Sun Jun 21 17:49:39 2020, Epoch 22, lr: 0.0000618, train loss: 0.05947, val loss: 0.43295, acc: 86.81112, qwk: 0.66681
Sun Jun 21 17:52:10 2020, Epoch 23, lr: 0.0000496, train loss: 0.05395, val loss: 0.43680, acc: 86.76401, qwk: 0.66903
Sun Jun 21 17:54:42 2020, Epoch 24, lr: 0.0000385, train loss: 0.05213, val loss: 0.44893, acc: 86.34008, qwk: 0.66043
Sun Jun 21 17:57:15 2020, Epoch 25, lr: 0.0000286, train loss: 0.05181, val loss: 0.43751, acc: 86.90532, qwk: 0.67026
Sun Jun 21 17:59:50 2020, Epoch 26, lr: 0.0000201, train loss: 0.04775, val loss: 0.45066, acc: 86.52850, qwk: 0.65782
Sun Jun 21 18:02:23 2020, Epoch 27, lr: 0.0000130, train loss: 0.04624, val loss: 0.44875, acc: 86.81112, qwk: 0.66967
Sun Jun 21 18:04:58 2020, Epoch 28, lr: 0.0000073, train loss: 0.04400, val loss: 0.44949, acc: 86.57560, qwk: 0.66251
Sun Jun 21 18:07:33 2020, Epoch 29, lr: 0.0000033, train loss: 0.04312, val loss: 0.45119, acc: 86.71691, qwk: 0.66552
Sun Jun 21 18:10:08 2020, Epoch 30, lr: 0.0000008, train loss: 0.03924, val loss: 0.45246, acc: 86.71691, qwk: 0.66516
